ACT,Movie1,Movie2,Movie3,Movie4,Movie5,Movie6,Movie7,Movie8,Movie9,Movie10
IRON MAN (Tony Stark),Iron Man,Iron Man 2,The Avengers,Iron Man 3,Avengers: Age of Ultron,Captain America: Civil War,Spider-man: Homecoming,Avengers: Infinity War,Avengers: Endgame,
RESCUE (Pepper Potts),Iron Man,Iron Man 2,The Avengers,Iron Man 3,Spider-man: Homecoming,Avengers: Infinity War,Avengers: Endgame,,,
HAROLD 'HAPPY' HOGAN,Iron Man,Iron Man 2,Iron Man 3,Spider-man: Homecoming,Avengers: Endgame,Spider-man: Far From Home,,,,
WAR MACHINE/IRON PATRIOT (James Rhodes),Iron Man,Iron Man 2,Iron Man 3,Avengers: Age of Ultron,Captain America: Civil War,Avengers: Infinity War,Avengers: Endgame,,,
MARIA STARK,Captain America: Civil War,,,,,,,,,
HOWARD STARK (Older),Iron Man 2,Ant-man,Captain America: Civil War,Avengers: Endgame,,,,,,
HOWARD STARK (Younger),Captain America: The First Avenger,Agent Carter,,,,,,,,
YINSEN,Iron Man,,,,,,,,,
HARLEY KEENER,Iron Man 3,Avengers: Endgame,,,,,,,,
THE IRON MONGER (Obadiah Stane),Iron Man,,,,,,,,,
RAZA,Iron Man,,,,,,,,,
WHIPLASH (Ivan Vanko),Iron Man 2,,,,,,,,,
JUSTIN HAMMER,Iron Man 2,,,,,,,,,
ALDRICH KILLIAN,Iron Man 3,,,,,,,,,
TREVOR SLATTERY,Iron Man 3,,,,,,,,,
MAYA HANSEN,Iron Man 3,,,,,,,,,
CHRISTINE EVERHART,Iron Man,Iron Man 2,,,,,,,,
F.R.I.D.A.Y (Voice),Avengers: Age of Ultron,Captain America: Civil War,Spider-man: Homecoming,Avengers: Infinity War,Avengers: Endgame,,,,,
CAPTAIN AMERICA (Steve Rogers),Captain America: The First Avenger,The Avengers,Thor: The Dark World,Captain America: The Winter Soldier,Avengers: Age of Ultron,Captain America: Civil War,Spider-man: Homecoming,Avengers: Infinity War,Avengers: Endgame,
THE WINTER SOLDIER (James Bucky Barnes),Captain America: The First Avenger,Captain America: The Winter Soldier,Captain America: Civil War,Black Panther,Avengers: Infinity War,Avengers: Endgame,Falcon and the Winter Soldier,,,
THE FALCON (Sam Wilson),Captain America: The Winter Soldier,Avengers: Age of Ultron,Ant-man,Captain America: Civil War,Avengers: Infinity War,Avengers: Endgame,Falcon and the Winter Soldier,,,
AGENT 13 (Sharon Carter),Captain America: The Winter Soldier,Captain America: Civil War,Falcon and the Winter Soldier,,,,,,,
PEGGY CARTER,Captain America: The First Avenger,Captain America: The Winter Soldier,Avengers: Age of Ultron,Agent Carter,Avengers: Endgame,,,,,
DR ABRAHAM IRKSINE,Captain America: The First Avenger,,,,,,,,,
COLONEL CHESTER PHILLIPS,Captain America: The First Avenger,,,,,,,,,
RED SKULL (Johann Schmidt),Captain America: The First Avenger,Avengers: Infinity War,Avengers: Endgame,,,,,,,
HEINZ KRUGER,Captain America: The First Avenger,,,,,,,,,
ARNIM ZOLA,Captain America: The First Avenger,Captain America: The Winter Soldier,,,,,,,,
ALEXANDER PIERCE,Captain America: The Winter Soldier,Avengers: Endgame,,,,,,,,
CROSSBONES (Brock Rumlow),Captain America: The Winter Soldier,Captain America: Civil War,Avengers: Endgame,,,,,,,
BORON VON STRUCKER,Captain America: The Winter Soldier,Avengers: Age of Ultron,,,,,,,,
BARON ZEMO,Captain America: Civil War,Falcon and the Winter Soldier,,,,,,,,
US AGENT (John Walker),Falcon and the Winter Soldier,,,,,,,,,
DUM DUM DUGAN (Timothy Dugan),Captain America: The First Avenger,Agents of Shield,Agent Carter,,,,,,,
UNION JACK (James Montgomery Falsworth),Captain America: The First Avenger,,,,,,,,,
THOR (Odinson),Thor,The Avengers,Thor: The Dark World,Avengers: Age of Ultron,Thor: Ragnarok,Avengers: Infinity War,Avengers: Endgame,Thor: Love and Thunder,,
LOKI,Thor,The Avengers,Thor: The Dark World,Thor: Ragnarok,Avengers: Infinity War,Avengers: Endgame,Loki,,,
HELA,Thor: Ragnarok,,,,,,,,,
ODIN,Thor,Thor: The Dark World,Thor: Ragnarok,,,,,,,
FRIGGA,Thor,Thor: The Dark World,Avengers: Endgame,,,,,,,
VALKYRIE,Thor: Ragnarok,Avengers: Endgame,Thor: Love and Thunder,,,,,,,
