,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol 2,Spider-man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-man: Far From Home
Iron Man,1.0,0.0,0.7272727272727273,0.09090909090909091,0.0,0.45454545454545453,0.45454545454545453,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.45454545454545453,0.0,0.18181818181818182,0.45454545454545453,0.18181818181818182
The Incredible Hulk,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
Iron Man 2,0.6153846153846154,0.0,1.0,0.07692307692307693,0.0,0.46153846153846156,0.38461538461538464,0.0,0.23076923076923078,0.0,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.0,0.0,0.23076923076923078,0.0,0.0,0.46153846153846156,0.0,0.15384615384615385,0.5384615384615384,0.15384615384615385
Thor,0.0625,0.0,0.0625,1.0,0.0,0.375,0.0,0.75,0.0625,0.0,0.1875,0.0,0.0625,0.0,0.0,0.0,0.4375,0.0,0.1875,0.0,0.0625,0.3125,0.0
Captain America: The First Avenger,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.25,0.0,0.0,0.3333333333333333,0.08333333333333333
The Avengers,0.29411764705882354,0.058823529411764705,0.35294117647058826,0.35294117647058826,0.058823529411764705,1.0,0.17647058823529413,0.23529411764705882,0.35294117647058826,0.11764705882352941,0.5294117647058824,0.0,0.29411764705882354,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.6470588235294118,0.0,0.11764705882352941,0.5882352941176471,0.11764705882352941
Iron Man 3,0.5,0.0,0.5,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.5,0.1
Thor: The Dark World,0.0,0.0,0.0,0.7058823529411765,0.058823529411764705,0.23529411764705882,0.0,1.0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.4117647058823529,0.0,0.29411764705882354,0.0,0.0,0.29411764705882354,0.0
Captain America: The Winter Soldier,0.06666666666666667,0.0,0.2,0.06666666666666667,0.26666666666666666,0.4,0.0,0.06666666666666667,1.0,0.0,0.4666666666666667,0.06666666666666667,0.4,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.4,0.0,0.06666666666666667,0.5333333333333333,0.13333333333333333
Guardians of the Galaxy,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,0.0,0.42105263157894735,0.0,0.10526315789473684,0.3684210526315789,0.0
Avengers: Age of Ultron,0.19047619047619047,0.047619047619047616,0.23809523809523808,0.14285714285714285,0.09523809523809523,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.0,1.0,0.047619047619047616,0.42857142857142855,0.0,0.0,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.6190476190476191,0.0,0.047619047619047616,0.6190476190476191,0.09523809523809523
Ant-man,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.4166666666666667,0.0
Captain America: Civil War,0.13636363636363635,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.2727272727272727,0.0,0.4090909090909091,0.13636363636363635,1.0,0.0,0.0,0.22727272727272727,0.0,0.18181818181818182,0.5454545454545454,0.045454545454545456,0.0,0.6363636363636364,0.09090909090909091
Doctor Strange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0
Guardians of the Galaxy Vol 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Spider-man: Homecoming,0.13043478260869565,0.0,0.13043478260869565,0.0,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.0,0.13043478260869565,0.0,0.21739130434782608,0.0,0.0,1.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.2608695652173913,0.34782608695652173
Thor: Ragnarok,0.0,0.07142857142857142,0.0,0.5,0.0,0.21428571428571427,0.0,0.5,0.0,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,1.0,0.0,0.35714285714285715,0.0,0.0,0.35714285714285715,0.0
Black Panther,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.35714285714285715,0.0
Avengers: Infinity War,0.1282051282051282,0.05128205128205128,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.28205128205128205,0.10256410256410256,0.1282051282051282,0.15384615384615385,0.20512820512820512,0.3333333333333333,0.02564102564102564,0.3076923076923077,0.05128205128205128,0.1794871794871795,0.15384615384615385,0.1282051282051282,0.10256410256410256,1.0,0.0,0.02564102564102564,0.8205128205128205,0.10256410256410256
Ant-man and the Wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.0
Captain Marvel,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.0,0.16666666666666666,0.16666666666666666
