지점,지점명,일시,일강수량(mm)
90,속초,2013-08-09,15.5
90,속초,2013-08-10,9.5
90,속초,2013-08-16,0.1
90,속초,2013-08-18,0.0
90,속초,2013-08-19,9.0
90,속초,2013-08-21,1.0
90,속초,2013-08-23,7.5
90,속초,2013-08-26,3.0
90,속초,2013-08-29,26.0
90,속초,2013-08-30,1.5
90,속초,2013-08-31,93.5
90,속초,2013-09-03,0.3
90,속초,2013-09-04,1.0
90,속초,2013-09-06,0.0
90,속초,2013-09-10,0.0
90,속초,2013-09-11,2.0
90,속초,2013-09-12,0.5
90,속초,2013-09-13,35.0
90,속초,2013-09-14,2.0
90,속초,2013-09-16,2.5
90,속초,2013-09-22,4.5
90,속초,2013-09-24,46.5
90,속초,2013-09-25,11.0
90,속초,2013-09-26,9.5
90,속초,2013-09-28,0.5
90,속초,2013-09-29,31.0
90,속초,2013-09-30,29.0
90,속초,2013-10-02,0.0
90,속초,2013-10-06,1.0
90,속초,2013-10-07,2.5
90,속초,2013-10-08,27.0
90,속초,2013-10-09,4.0
90,속초,2013-10-15,31.5
90,속초,2013-10-20,0.4
90,속초,2013-10-21,0.0
90,속초,2013-10-23,0.0
90,속초,2013-10-29,0.0
90,속초,2013-11-02,0.0
90,속초,2013-11-03,0.0
90,속초,2013-11-04,2.5
90,속초,2013-11-07,0.5
90,속초,2013-11-08,0.3
90,속초,2013-11-09,4.0
90,속초,2013-11-10,0.2
90,속초,2013-11-24,8.0
90,속초,2013-11-25,4.0
90,속초,2013-11-27,3.8
90,속초,2013-12-09,15.5
90,속초,2013-12-10,38.0
90,속초,2013-12-12,0.5
90,속초,2013-12-17,3.0
90,속초,2013-12-18,3.5
90,속초,2013-12-20,1.6
90,속초,2013-12-21,0.6
90,속초,2014-01-04,7.4
90,속초,2014-01-05,0.0
90,속초,2014-01-20,0.1
90,속초,2014-01-21,14.1
90,속초,2014-01-25,7.5
90,속초,2014-01-26,0.2
90,속초,2014-02-01,16.5
90,속초,2014-02-02,2.0
90,속초,2014-02-06,0.1
90,속초,2014-02-07,12.4
90,속초,2014-02-08,19.8
90,속초,2014-02-09,44.6
90,속초,2014-02-10,29.7
90,속초,2014-02-11,5.0
90,속초,2014-02-13,22.6
90,속초,2014-02-14,5.4
90,속초,2014-02-17,2.5
90,속초,2014-02-18,6.2
90,속초,2014-02-19,0.2
90,속초,2014-02-20,1.2
90,속초,2014-02-22,0.0
90,속초,2014-02-28,0.0
90,속초,2014-03-01,3.0
90,속초,2014-03-02,8.5
90,속초,2014-03-05,15.1
90,속초,2014-03-12,0.1
90,속초,2014-03-13,0.5
90,속초,2014-03-17,0.0
90,속초,2014-03-18,0.0
90,속초,2014-03-20,8.0
90,속초,2014-03-29,0.2
90,속초,2014-03-30,5.0
90,속초,2014-04-03,34.0
90,속초,2014-04-04,3.5
90,속초,2014-04-05,3.0
90,속초,2014-04-17,0.3
90,속초,2014-04-18,0.0
90,속초,2014-04-27,1.5
90,속초,2014-04-28,10.5
90,속초,2014-04-29,41.0
90,속초,2014-04-30,5.0
90,속초,2014-05-05,0.0
90,속초,2014-05-08,11.0
90,속초,2014-05-11,8.5
90,속초,2014-05-12,3.5
90,속초,2014-05-15,0.0
90,속초,2014-05-22,0.5
90,속초,2014-05-23,1.5
90,속초,2014-05-25,0.0
90,속초,2014-05-26,0.0
90,속초,2014-06-02,0.0
90,속초,2014-06-03,8.0
90,속초,2014-06-04,2.0
90,속초,2014-06-05,0.5
90,속초,2014-06-07,0.0
90,속초,2014-06-08,3.5
90,속초,2014-06-09,0.1
90,속초,2014-06-10,2.0
90,속초,2014-06-11,1.5
90,속초,2014-06-12,0.2
90,속초,2014-06-13,1.0
90,속초,2014-06-16,0.0
90,속초,2014-06-17,0.5
90,속초,2014-06-18,3.0
90,속초,2014-06-19,7.5
90,속초,2014-06-20,3.0
90,속초,2014-06-21,2.5
90,속초,2014-06-22,2.5
90,속초,2014-06-23,2.0
90,속초,2014-06-24,0.1
90,속초,2014-06-28,1.5
90,속초,2014-06-29,0.5
90,속초,2014-07-03,46.0
90,속초,2014-07-04,0.2
90,속초,2014-07-08,0.0
90,속초,2014-07-09,19.0
90,속초,2014-07-18,0.0
90,속초,2014-07-22,3.0
90,속초,2014-07-23,0.1
90,속초,2014-07-24,0.1
90,속초,2014-07-25,45.5
90,속초,2014-07-26,8.0
90,속초,2014-07-27,1.0
90,속초,2014-07-29,0.5
90,속초,2014-07-31,3.5
90,속초,2014-08-02,0.0
90,속초,2014-08-03,36.5
90,속초,2014-08-04,1.0
90,속초,2014-08-06,2.5
90,속초,2014-08-07,0.0
90,속초,2014-08-09,7.0
90,속초,2014-08-10,37.0
90,속초,2014-08-11,1.0
90,속초,2014-08-13,3.5
90,속초,2014-08-14,3.0
90,속초,2014-08-17,8.0
90,속초,2014-08-18,49.0
90,속초,2014-08-19,23.5
90,속초,2014-08-20,0.1
90,속초,2014-08-21,73.5
90,속초,2014-08-24,0.0
90,속초,2014-08-25,4.0
90,속초,2014-08-26,44.5
90,속초,2014-08-27,2.0
90,속초,2014-09-02,1.5
90,속초,2014-09-03,138.0
90,속초,2014-09-04,2.0
90,속초,2014-09-10,0.0
90,속초,2014-09-12,2.0
90,속초,2014-09-13,7.0
90,속초,2014-09-15,1.5
90,속초,2014-09-17,6.0
90,속초,2014-09-20,0.0
90,속초,2014-09-21,4.5
90,속초,2014-09-24,8.0
90,속초,2014-09-25,2.5
90,속초,2014-09-28,0.0
90,속초,2014-09-29,1.5
90,속초,2014-09-30,6.5
90,속초,2014-10-02,0.5
90,속초,2014-10-03,0.5
90,속초,2014-10-04,5.5
90,속초,2014-10-10,0.0
90,속초,2014-10-13,2.0
90,속초,2014-10-16,0.5
90,속초,2014-10-20,9.5
90,속초,2014-10-21,21.0
90,속초,2014-10-22,0.1
90,속초,2014-10-26,0.0
90,속초,2014-10-31,0.0
90,속초,2014-11-01,0.4
90,속초,2014-11-02,0.0
90,속초,2014-11-06,4.0
90,속초,2014-11-07,9.5
90,속초,2014-11-12,0.0
90,속초,2014-11-24,1.0
90,속초,2014-11-25,9.0
90,속초,2014-11-26,0.1
90,속초,2014-11-28,25.0
90,속초,2014-11-29,0.1
90,속초,2014-11-30,2.5
90,속초,2014-12-01,0.0
90,속초,2014-12-15,0.2
90,속초,2014-12-16,0.0
90,속초,2015-01-06,0.0
90,속초,2015-01-11,0.0
90,속초,2015-01-15,0.5
90,속초,2015-01-19,0.0
90,속초,2015-01-22,4.0
90,속초,2015-01-25,1.5
90,속초,2015-01-26,1.0
90,속초,2015-01-27,1.2
90,속초,2015-01-28,0.5
90,속초,2015-02-04,0.4
90,속초,2015-02-05,7.5
90,속초,2015-02-16,16.0
90,속초,2015-02-17,4.0
90,속초,2015-02-18,1.0
90,속초,2015-02-19,2.2
90,속초,2015-02-21,1.0
90,속초,2015-02-25,0.0
90,속초,2015-03-11,0.0
90,속초,2015-03-18,2.5
90,속초,2015-03-31,5.5
90,속초,2015-04-01,11.0
90,속초,2015-04-02,13.0
90,속초,2015-04-03,6.5
90,속초,2015-04-05,0.1
90,속초,2015-04-06,0.0
90,속초,2015-04-07,1.5
90,속초,2015-04-08,2.0
90,속초,2015-04-12,0.0
90,속초,2015-04-13,0.1
90,속초,2015-04-14,10.5
90,속초,2015-04-15,0.0
90,속초,2015-04-16,1.0
90,속초,2015-04-19,7.5
90,속초,2015-04-20,21.0
90,속초,2015-05-02,1.0
90,속초,2015-05-03,3.0
90,속초,2015-05-11,3.0
90,속초,2015-05-12,1.5
90,속초,2015-05-15,0.0
90,속초,2015-05-16,0.1
90,속초,2015-05-19,0.5
90,속초,2015-05-30,0.1
90,속초,2015-06-05,2.0
90,속초,2015-06-11,0.2
90,속초,2015-06-12,1.5
90,속초,2015-06-13,1.5
90,속초,2015-06-14,2.5
90,속초,2015-06-18,1.0
90,속초,2015-06-25,0.5
90,속초,2015-06-26,114.5
90,속초,2015-06-27,1.5
90,속초,2015-06-30,2.5
90,속초,2015-07-01,7.5
90,속초,2015-07-02,2.0
90,속초,2015-07-03,11.0
90,속초,2015-07-04,0.0
90,속초,2015-07-08,11.0
90,속초,2015-07-09,1.5
90,속초,2015-07-12,24.0
90,속초,2015-07-14,2.0
90,속초,2015-07-16,0.4
90,속초,2015-07-17,0.0
90,속초,2015-07-18,0.1
90,속초,2015-07-19,6.5
90,속초,2015-07-20,5.0
90,속초,2015-07-21,0.1
90,속초,2015-07-22,0.0
90,속초,2015-07-23,26.0
90,속초,2015-07-24,48.0
90,속초,2015-07-25,15.0
90,속초,2015-07-26,0.1
90,속초,2015-07-29,2.6
90,속초,2015-07-31,0.3
90,속초,2015-08-01,22.0
90,속초,2015-08-02,2.6
90,속초,2015-08-03,0.0
90,속초,2015-08-08,16.9
90,속초,2015-08-13,59.0
90,속초,2015-08-14,0.6
90,속초,2015-08-16,25.1
90,속초,2015-08-17,0.7
90,속초,2015-08-18,1.4
90,속초,2015-08-20,0.0
90,속초,2015-08-21,0.0
90,속초,2015-08-24,19.6
